porte_param,cluster_param,valor_max,valor_medio,valor_q2,valor_q3
Menor porte,Cluster 1,47.6093314289601,6.849366559656918,3.92387679026879,8.50787235151396
Menor porte,Cluster 2,68.4931506849315,12.932929530145657,7.84313725490196,16.91695424475395
Menor porte,Cluster 3,70.2106318956871,8.199329843129371,4.8013443764254,8.88888888888889
Médio porte,Cluster 1,84.6303501945525,2.5330528187116803,1.47563360017708,2.70124257158293
Médio porte,Cluster 2,20.3562340966921,4.284400605641136,3.373609965035085,5.657290062087
Médio porte,Cluster 3,27.2320560202295,3.4153504742715266,2.4154516743978602,4.294735942188398
Maior porte,Cluster 1,14.0504145567859,2.2857284120990005,1.88462658694125,3.23189151397628
Maior porte,Cluster 2,8.48618907507495,2.3372013852498705,1.90675514391018,3.5405088605042754
Maior porte,Cluster 3,16.1486811910361,2.716664627697149,1.987502472133075,3.724783818193683
